15424863;;SCIMAGO
15390756;;SCIMAGO
10974172;;SCIMAGO
15454509;;SCIMAGO
15314650;;SCIMAGO
10614036;;SCIMAGO
14710064;;SCIMAGO
14710080;;SCIMAGO
15206890;;SCIMAGO
14764687;;SCIMAGO
13990047;;SCIMAGO
14606976;;SCIMAGO
15221210;;SCIMAGO
14764660;;SCIMAGO
14680262;;SCIMAGO
1537534X;;SCIMAGO
00220515;;SCIMAGO
15406261;;SCIMAGO
1474175X;;SCIMAGO
15356108;;SCIMAGO
14741733;;SCIMAGO
15292916;;SCIMAGO
17483395;;SCIMAGO
15534014;;SCIMAGO
14764679;;SCIMAGO
19345909;;SCIMAGO
15495469;;SCIMAGO
14745488;;SCIMAGO
10974164;;SCIMAGO
14710048;;SCIMAGO
17452473;;SCIMAGO
10974180;;SCIMAGO
10870156;;SCIMAGO
17494885;;SCIMAGO
15495477;;SCIMAGO
15334406;;SCIMAGO
14604744;;SCIMAGO
15435008;;SCIMAGO
19475462;;SCIMAGO
08966273;;SCIMAGO
1467937X;;SCIMAGO
14657368;;SCIMAGO
00368075;;SCIMAGO
15210081;;SCIMAGO
19358237;;SCIMAGO
15409538;;SCIMAGO
15459993;;SCIMAGO
10976256;;SCIMAGO
1474547X;;SCIMAGO
0304405X;;SCIMAGO
03637425;;SCIMAGO
03701573;;SCIMAGO
13646613;;SCIMAGO
15204898;;SCIMAGO
18732208;;SCIMAGO
09680004;;SCIMAGO
14744422;;SCIMAGO
10788956;;SCIMAGO
19457790;;SCIMAGO
1936122X;;SCIMAGO
00796700;;SCIMAGO
15487105;;SCIMAGO
17401526;;SCIMAGO
10922172;;SCIMAGO
01695347;;SCIMAGO
19411405;;SCIMAGO
15375943;;SCIMAGO
15504131;;SCIMAGO
09628924;;SCIMAGO
01662236;;SCIMAGO
19416520;;SCIMAGO
17444292;;SCIMAGO
15408140;;SCIMAGO
00028282;;SCIMAGO
87551209;;SCIMAGO
10130047;;SCIMAGO
10986618;;SCIMAGO
14733099;;SCIMAGO
00219738;;SCIMAGO
15306992;;SCIMAGO
1076836X;;SCIMAGO
01689525;;SCIMAGO
15345807;;SCIMAGO
14320754;;SCIMAGO
07351097;;SCIMAGO
17554349;;SCIMAGO
00014273;;SCIMAGO
10886834;;SCIMAGO
14602075;;SCIMAGO
00018392;;SCIMAGO
14747596;;SCIMAGO
15277755;;SCIMAGO
1600065X;;SCIMAGO
15383636;;SCIMAGO
0163769X;;SCIMAGO
01675729;;SCIMAGO
14610248;;SCIMAGO
09550674;;SCIMAGO
03601285;;SCIMAGO
08953309;;SCIMAGO
00332909;;SCIMAGO
19466242;;SCIMAGO
1945774X;;SCIMAGO
15244539;;SCIMAGO
19313128;;SCIMAGO
22111247;;SCIMAGO
14698994;;SCIMAGO
19438206;;SCIMAGO
10970266;;SCIMAGO
14679868;;SCIMAGO
15376605;;SCIMAGO
00025100;;SCIMAGO
09359648;;SCIMAGO
19411383;;SCIMAGO
17480132;;SCIMAGO
0003486X;;SCIMAGO
00905364;;SCIMAGO
15722740;;SCIMAGO
15571211;;SCIMAGO
15424774;;SCIMAGO
15457885;;SCIMAGO
01686445;;SCIMAGO
15451593;;SCIMAGO
0959437X;;SCIMAGO
14714981;;SCIMAGO
15327957;;SCIMAGO
13616633;;SCIMAGO
15265455;;SCIMAGO
01654101;;SCIMAGO
15477185;;SCIMAGO
14321297;;SCIMAGO
15405907;;SCIMAGO
13601385;;SCIMAGO
15524469;;SCIMAGO
17520908;;SCIMAGO
14741776;;SCIMAGO
00278874;;SCIMAGO
10916490;;SCIMAGO
1936086X;;SCIMAGO
15357228;;SCIMAGO
15229645;;SCIMAGO
19457715;;SCIMAGO
0959440X;;SCIMAGO
15384365;;SCIMAGO
15371719;;SCIMAGO
14740508;;SCIMAGO
1421993X;;SCIMAGO
00832006;;SCIMAGO
15280020;;SCIMAGO
13624962;;SCIMAGO
00015962;;SCIMAGO
01628828;;SCIMAGO
15537404;;SCIMAGO
14765578;;SCIMAGO
15309142;;SCIMAGO
10694730;;SCIMAGO
15672328;;SCIMAGO
15477193;;SCIMAGO
15200477;;SCIMAGO
17545692;;SCIMAGO
16146840;;SCIMAGO
15244571;;SCIMAGO
17542189;;SCIMAGO
15205126;;SCIMAGO
0033295X;;SCIMAGO
14602156;;SCIMAGO
21603308;;SCIMAGO
11343060;;SCIMAGO
15383598;;SCIMAGO
02767783;;SCIMAGO
1526548X;;SCIMAGO
22126864;;SCIMAGO
14764989;;SCIMAGO
1532298X;;SCIMAGO
