08713413;Arquivos de Medicina;SCIELO
00212571;Annali dell'Istituto Superiore di Sanità;SCIELO
1414753X;Ambiente e sociedade;SCIELO
18526233;BAG. Journal of basic and applied genetics;SCIELO
03279545;Biocell;SCIELO
18512372;Boletín de la Sociedad Argentina de Botanica;SCIELO
05249767;Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani;SCIELO
21764573;Bakhtiniana: Revista de Estudos do Discurso;SCIELO
18077692;BAR - Brazilian Administration Review;SCIELO
16760603;Biota Neotropica;SCIELO
0103636X;Bolema: Boletim de Educação Matematica;SCIELO
19822170;Boletim de Ciências Geodésicas;SCIELO
03735524;Boletim do Instituto Oceanografico;SCIELO
01004239;Boletim do Instituto Paulista de Oceanografia;SCIELO
19818122;Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas;SCIELO
00068705;Bragantia;SCIELO
15168913;Brazilian Archives of Biology and Technology;SCIELO
01036440;Brazilian Dental Journal;SCIELO
15196984;Brazilian Journal of Biology;SCIELO
01008404;Brazilian Journal of Botany;SCIELO
01046632;Brazilian Journal of Chemical Engineering;SCIELO
19816723;Brazilian Journal of Food Technology;SCIELO
01008455;Brazilian Journal of Genetics;SCIELO
14138670;Brazilian Journal of Infectious Diseases;SCIELO
0100879X;Brazilian Journal of Medical and Biological Research;SCIELO
15178382;Brazilian Journal of Microbiology;SCIELO
16798759;Brazilian Journal of Oceanography;SCIELO
16773225;Brazilian Journal of Oral Sciences;SCIELO
18088694;Brazilian Journal of Otorhinolaryngology;SCIELO
19848250;Brazilian Journal of Pharmaceutical Sciences;SCIELO
14133555;Brazilian Journal of Physical Therapy;SCIELO
01039733;Brazilian Journal of Physics;SCIELO
16770420;Brazilian Journal of Plant Physiology;SCIELO
14139596;Brazilian Journal of Veterinary Research and Animal Science;SCIELO
18068324;Brazilian Oral Research;SCIELO
19813821;Brazilian Political Science Review;SCIELO
07169760;Biological Research;SCIELO
03659402;Boletín chileno de parasitología;SCIELO
07189303;Boletín de filología;SCIELO
03661644;Boletín de la Sociedad Chilena de Química;SCIELO
07186894;Boletín del Museo Chileno de Arte Precolombino;SCIELO
07179200;Bosque (Valdivia);SCIELO
07188471;Byzantion nea hellas;SCIELO
01204157;Biomédica;SCIELO
16579550;Biosalud;SCIELO
16923561;Biotecnología en el Sector Agropecuario y Agroindustrial ;SCIELO
01233068;Boletín Científico. Centro de Museos. Museo de Historia Natural;SCIELO
01203630;Boletín de Ciencias de la Tierra;SCIELO
01200283;Boletin de Geología;SCIELO
01229761;Boletín de Investigaciones Marinas y Costeras - INVEMAR;SCIELO
10272852;Biotecnologia Aplicada;SCIELO
03662128;Boletín de la Sociedad Botanica de México;SCIELO
14053322;Boletín de la Sociedad Geologica Mexicana;SCIELO
16651146;Boletín médico del Hospital Infantil de México;SCIELO
00418633;Boletín mexicano de derecho comparado;SCIELO
20074298;Botanical Sciences;SCIELO
15624730;Biblios;SCIELO
00429686;Bulletin of the World Health Organization;SCIELO
19813821;Brazilian Political Science Review (Online);SCIELO
18513735;Ciclos en la historia, la economía y la sociedad;SCIELO
18511716;Ciencia, docencia y tecnología;SCIELO
18502067;Ciencia del suelo;SCIELO
